CustomerKey,CustomerCode,CustomerName,Email,Country,Region,Segment,LoyaltyTier,SignupDate,AgeBand
1,C1000,Customer_0,customer0@example.com,USA,West,Hardcore,Platinum,2020-03-12,45-54
2,C1001,Customer_1,customer1@example.com,Japan,East,Core,Silver,2021-11-02,35-44
3,C1002,Customer_2,customer2@example.com,Australia,South,Core,Gold,2020-06-27,35-44
4,C1003,Customer_3,customer3@example.com,France,North,Core,Bronze,2019-09-29,25-34
5,C1004,Customer_4,customer4@example.com,USA,North,Hardcore,Gold,2020-12-15,18-24
6,C1005,Customer_5,customer5@example.com,Australia,Central,Casual,Silver,2019-05-21,18-24
7,C1006,Customer_6,customer6@example.com,France,West,Hardcore,Platinum,2020-05-15,45-54
8,C1007,Customer_7,customer7@example.com,Germany,Central,Casual,Platinum,2021-01-26,35-44
9,C1008,Customer_8,customer8@example.com,USA,Central,Casual,Gold,2020-08-06,25-34
10,C1009,Customer_9,customer9@example.com,USA,Central,Casual,Silver,2019-11-20,25-34
11,C1010,Customer_10,customer10@example.com,Germany,North,Core,Gold,2021-06-16,25-34
12,C1011,Customer_11,customer11@example.com,Germany,North,Core,Gold,2022-01-17,25-34
13,C1012,Customer_12,customer12@example.com,USA,Central,Casual,Bronze,2022-12-11,25-34
14,C1013,Customer_13,customer13@example.com,Germany,North,Casual,Gold,2020-09-11,18-24
15,C1014,Customer_14,customer14@example.com,UK,West,Core,Bronze,2022-06-06,18-24
16,C1015,Customer_15,customer15@example.com,France,Central,Hardcore,Bronze,2022-09-01,18-24
17,C1016,Customer_16,customer16@example.com,France,North,Casual,Platinum,2021-12-19,35-44
18,C1017,Customer_17,customer17@example.com,France,South,Hardcore,Bronze,2019-01-17,45-54
19,C1018,Customer_18,customer18@example.com,UK,Central,Core,Bronze,2022-09-29,25-34
20,C1019,Customer_19,customer19@example.com,Canada,Central,Casual,Platinum,2022-02-09,35-44
21,C1020,Customer_20,customer20@example.com,Germany,West,Hardcore,Gold,2020-09-05,25-34
22,C1021,Customer_21,customer21@example.com,Australia,East,Hardcore,Silver,2022-09-20,18-24
23,C1022,Customer_22,customer22@example.com,Germany,East,Hardcore,Silver,2019-08-01,35-44
24,C1023,Customer_23,customer23@example.com,USA,West,Core,Silver,2019-10-03,18-24
